Player,Weight (kg),Height (cm),Age,Years Played,Player Efficiency Rating,True Shooting %,Assist Percentage,Block Percentage,Steal Percentage,Total Rebound Percentage,Win Shares,3-Point Field Goal Percentage,2-Point Field Goal Percentage,Free Throw Percentage,Turnovers,Personal Fouls,Points,Total Rebounds,Steals,Win Shares Per 48 Minutes
Rod Strickland,90.0,196.0,30.347826086956523,16.0,16.391304347826082,0.4922608695652174,35.778260869565216,0.45652173913043476,2.2956521739130435,6.821739130434783,4.069565217391306,0.2404347826086957,0.44321739130434784,0.718695652173913,140.17391304347825,102.6086956521739,704.8260869565217,201.65217391304347,79.6086956521739,0.0972608695652174
Rodney Buford,85.0,196.0,24.4,5.0,9.66,0.4406,7.579999999999998,0.72,1.6200000000000003,7.56,0.56,0.24400000000000005,0.41980000000000006,0.7203999999999999,28.0,66.4,294.4,119.6,23.0,0.0264
Rodney Carney,92.0,201.0,24.571428571428573,4.0,12.885714285714284,0.4884285714285715,4.114285714285715,1.3285714285714287,3.014285714285714,8.385714285714286,0.9285714285714286,0.3177142857142857,0.4595714285714286,0.7008333333333333,24.714285714285715,64.71428571428571,272.14285714285717,90.85714285714286,24.428571428571427,0.05971428571428571
Rodney Hood,93.0,203.0,23.0,3.0,12.933333333333332,0.531,12.566666666666668,0.6666666666666666,1.4333333333333333,6.599999999999999,3.6,0.365,0.456,0.8019999999999999,78.33333333333333,151.0,776.6666666666666,195.33333333333334,47.0,0.09600000000000002
Rodney McCray,99.0,201.0,26.5,9.0,13.889999999999997,0.5483,14.6,1.1400000000000001,1.0999999999999999,11.09,5.59,0.1766,0.5034,0.7523,141.9,173.4,901.4,508.7,58.5,0.10130000000000002
Rodney Rogers,106.0,201.0,28.5,11.0,13.893749999999999,0.5193749999999999,12.68125,1.45625,1.9875,10.375000000000002,2.7812499999999996,0.338625,0.481375,0.714125,114.0625,192.25,676.8125,279.6875,60.9375,0.08218750000000001
Rodney Stuckey,95.0,196.0,25.5,9.0,14.470000000000002,0.5101,21.3,0.38999999999999996,1.67,6.2700000000000005,2.8600000000000003,0.28400000000000003,0.43810000000000004,0.8164999999999999,118.1,134.6,818.5,191.2,56.8,0.0739
Rodney White,95.0,203.0,23.0,3.0,11.616666666666667,0.46849999999999997,12.449999999999998,1.2,2.15,7.783333333333334,0.36666666666666664,0.3308333333333333,0.425,0.7038333333333333,53.666666666666664,62.166666666666664,305.5,95.66666666666667,25.0,0.009500000000000001
Rodrick Rhodes,102.0,198.0,25.0,2.0,0.08000000000000025,0.3056,9.28,0.5800000000000001,4.16,6.06,-0.48,0.17866666666666667,0.2314,0.66725,27.8,33.4,84.6,21.0,14.8,-0.23079999999999998
Rodrigue Beaubois,77.0,183.0,22.5,3.0,13.95,0.52075,21.449999999999996,1.25,2.15,6.424999999999999,1.2000000000000002,0.3225,0.49425,0.8012499999999999,51.0,78.0,321.5,84.5,31.0,0.07
